Employee Number,First Name,Last Name,Date_x,Hours Worked,Date_y,Performance Review,Employee,Week,Year,Month,Weekday,Year_week,Year_month
101,Alice,Johnson,2024-11-04,8.4,2/11/2025,3 - Satisfactory,Alice Johnson (101),45,2024,11,0,2024-W45,2024-11
101,Alice,Johnson,2024-11-05,9.4,2/11/2025,3 - Satisfactory,Alice Johnson (101),45,2024,11,1,2024-W45,2024-11
101,Alice,Johnson,2024-11-06,6.8,2/11/2025,3 - Satisfactory,Alice Johnson (101),45,2024,11,2,2024-W45,2024-11
101,Alice,Johnson,2024-11-07,6.7,2/11/2025,3 - Satisfactory,Alice Johnson (101),45,2024,11,3,2024-W45,2024-11
101,Alice,Johnson,2024-11-08,4.4,2/11/2025,3 - Satisfactory,Alice Johnson (101),45,2024,11,4,2024-W45,2024-11
101,Alice,Johnson,2024-11-11,4.7,2/11/2025,3 - Satisfactory,Alice Johnson (101),46,2024,11,0,2024-W46,2024-11
101,Alice,Johnson,2024-11-12,4.6,2/11/2025,3 - Satisfactory,Alice Johnson (101),46,2024,11,1,2024-W46,2024-11
101,Alice,Johnson,2024-11-13,6.3,2/11/2025,3 - Satisfactory,Alice Johnson (101),46,2024,11,2,2024-W46,2024-11
101,Alice,Johnson,2024-11-14,9.5,2/11/2025,3 - Satisfactory,Alice Johnson (101),46,2024,11,3,2024-W46,2024-11
101,Alice,Johnson,2024-11-15,5.1,2/11/2025,3 - Satisfactory,Alice Johnson (101),46,2024,11,4,2024-W46,2024-11
101,Alice,Johnson,2024-11-18,8.5,2/11/2025,3 - Satisfactory,Alice Johnson (101),47,2024,11,0,2024-W47,2024-11
101,Alice,Johnson,2024-11-19,5.9,2/11/2025,3 - Satisfactory,Alice Johnson (101),47,2024,11,1,2024-W47,2024-11
101,Alice,Johnson,2024-11-20,9.7,2/11/2025,3 - Satisfactory,Alice Johnson (101),47,2024,11,2,2024-W47,2024-11
101,Alice,Johnson,2024-11-21,6.5,2/11/2025,3 - Satisfactory,Alice Johnson (101),47,2024,11,3,2024-W47,2024-11
101,Alice,Johnson,2024-11-22,4.8,2/11/2025,3 - Satisfactory,Alice Johnson (101),47,2024,11,4,2024-W47,2024-11
101,Alice,Johnson,2024-11-24,9.6,2/11/2025,3 - Satisfactory,Alice Johnson (101),47,2024,11,6,2024-W47,2024-11
101,Alice,Johnson,2024-11-25,5.1,2/11/2025,3 - Satisfactory,Alice Johnson (101),48,2024,11,0,2024-W48,2024-11
101,Alice,Johnson,2024-11-26,9.6,2/11/2025,3 - Satisfactory,Alice Johnson (101),48,2024,11,1,2024-W48,2024-11
101,Alice,Johnson,2024-11-27,9.6,2/11/2025,3 - Satisfactory,Alice Johnson (101),48,2024,11,2,2024-W48,2024-11
101,Alice,Johnson,2024-11-28,8.4,2/11/2025,3 - Satisfactory,Alice Johnson (101),48,2024,11,3,2024-W48,2024-11
101,Alice,Johnson,2024-12-02,10.0,2/11/2025,3 - Satisfactory,Alice Johnson (101),49,2024,12,0,2024-W49,2024-12
101,Alice,Johnson,2024-12-03,5.3,2/11/2025,3 - Satisfactory,Alice Johnson (101),49,2024,12,1,2024-W49,2024-12
101,Alice,Johnson,2024-12-04,6.0,2/11/2025,3 - Satisfactory,Alice Johnson (101),49,2024,12,2,2024-W49,2024-12
101,Alice,Johnson,2024-12-06,7.0,2/11/2025,3 - Satisfactory,Alice Johnson (101),49,2024,12,4,2024-W49,2024-12
101,Alice,Johnson,2024-12-07,9.4,2/11/2025,3 - Satisfactory,Alice Johnson (101),49,2024,12,5,2024-W49,2024-12
101,Alice,Johnson,2024-12-09,4.0,2/11/2025,3 - Satisfactory,Alice Johnson (101),50,2024,12,0,2024-W50,2024-12
101,Alice,Johnson,2024-12-10,6.5,2/11/2025,3 - Satisfactory,Alice Johnson (101),50,2024,12,1,2024-W50,2024-12
101,Alice,Johnson,2024-12-11,8.1,2/11/2025,3 - Satisfactory,Alice Johnson (101),50,2024,12,2,2024-W50,2024-12
101,Alice,Johnson,2024-12-12,8.8,2/11/2025,3 - Satisfactory,Alice Johnson (101),50,2024,12,3,2024-W50,2024-12
101,Alice,Johnson,2024-12-13,7.6,2/11/2025,3 - Satisfactory,Alice Johnson (101),50,2024,12,4,2024-W50,2024-12
101,Alice,Johnson,2024-12-16,5.0,2/11/2025,3 - Satisfactory,Alice Johnson (101),51,2024,12,0,2024-W51,2024-12
